,pick,class,player,minutes_per,off_reb_per,def_reb_per,assist_per,block_per,steal_per,free_throw_per,two_point_per,three_point_per
32,27,Jr,Arnett Moultrie,79.5,12.2,21.7,7.0,2.1,1.4,48.5,0.555,0.444
33,54,Sr,Arsalan Kazemi,67.5,11.5,29.0,9.2,2.4,4.1,79.5,0.598,0.0
34,15,So,Austin Daye,65.4,4.7,22.1,8.1,8.1,1.6,32.4,0.49,0.45
35,10,Fr,Austin Rivers,82.4,2.2,9.2,13.0,0.1,1.7,45.8,0.477,0.365
36,19,Fr,Avery Bradley,72.9,3.5,6.6,12.4,1.6,2.4,17.9,0.457,0.375
37,51,So,Ben Bentil,84.7,8.4,16.7,8.0,3.1,1.4,46.5,0.517,0.329
38,7,Fr,Ben McLemore,79.1,5.0,12.3,12.6,2.2,1.8,34.5,0.5529999999999999,0.42
39,1,Fr,Ben Simmons,86.5,9.6,26.8,27.4,2.5,3.1,76.9,0.561,0.333
40,33,Sr,Bernard James,68.9,13.6,19.7,3.6,9.5,1.6,44.8,0.606,0.0
41,1,So,Blake Griffin,80.6,14.2,32.2,16.3,3.6,1.9,70.6,0.659,0.375
42,22,So,Bobby Portis,74.2,13.6,20.2,8.8,4.8,2.1,33.5,0.541,0.467
43,3,Fr,Bradley Beal,84.7,4.8,18.1,12.7,2.6,2.5,44.0,0.541,0.339
44,56,Sr,Branden Dawson,65.7,11.9,23.5,12.2,6.3,2.5,30.6,0.535,0.0
45,21,Jr,Brandon Clarke,70.2,13.9,19.7,12.1,10.8,2.3,42.0,0.705,0.267
46,2,Fr,Brandon Ingram,85.9,6.1,15.4,11.3,3.6,1.9,35.1,0.464,0.41
47,8,Fr,Brandon Knight,89.4,2.2,10.2,23.4,0.6,1.1,33.3,0.461,0.377
48,13,Jr,Brandon Rush,71.0,6.4,13.1,12.4,3.2,1.6,20.8,0.445,0.418
49,25,Sr,Brice Johnson,70.1,11.7,28.5,9.7,5.5,2.2,42.3,0.614,0.0
50,10,So,Brook Lopez,56.8,11.1,19.3,11.3,6.8,1.2,49.4,0.475,0.0
51,42,Fr,Bruce Brown,79.5,5.6,15.3,20.7,1.9,2.9,41.4,0.513,0.34700000000000003
52,42,So,Bruce Brown Jr.,49.6,4.6,20.0,21.3,2.5,2.3,37.2,0.484,0.267
53,34,So,Bruno Fernando,74.9,12.0,27.5,14.5,7.0,1.3,50.9,0.618,0.3
54,6,Sr,Buddy Hield,87.6,4.0,13.0,12.7,1.4,1.8,33.3,0.552,0.457
55,24,Fr,Byron Mullens,50.3,11.6,17.1,3.3,6.8,1.5,49.5,0.642,0.0
56,10,Jr,C.J. McCollum,83.6,5.0,17.4,25.4,1.8,4.6,42.7,0.489,0.349
57,28,Sr,C.J. Wilcox,86.5,2.3,10.6,15.4,2.8,1.7,27.1,0.522,0.391
58,46,So,CJ Elleby,82.9,3.8,23.1,13.4,2.5,2.9,29.5,0.439,0.339
59,55,Sr,Cady Lalanne,72.0,13.5,23.4,2.4,6.5,1.2,57.2,0.5820000000000001,0.16699999999999998
60,26,So,Caleb Swanigan,80.5,10.7,32.7,18.7,2.5,0.8,49.9,0.5479999999999999,0.447
