RK	PLAYER	TEAM	CONF	MIN%	OR	DR	AST	BLK	STL	FTR	2P	3P
68	Jr	6-7	Alonzo Sule	Texas St.	SB	51.6	7.0	11.1	10.3	3.1	1.3	32.0	70-145	.483	0-2	.000
69	Sr	6-2	Alonzo Verge Jr.	Arizona St.	P12	67.8	2.2	13.1	26.1	0.6	2.3	31.3	84-203	.414	27-81	.333
70	Sr	6-6	Alphonso Anderson	Utah St.	MWC	40.3	6.5	12.1	7.4	0.3	1.4	24.1	45-103	.437	23-67	.343
71	Sr	6-0	Alterique Gilbert	Wichita St.	Amer	75.9	1.0	9.4	30.8	0.4	2.8	29.3	46-118	.390	27-90	.300
72	Fr	6-3	Alyn Breed	Providence	BE	41.4	0.8	11.9	8.6	0.5	1.4	38.5	30-62	.484	9-34	.265
73	Jr	6-9	Amadou Sow	UC Santa Barbara	BW	65.0	10.4	25.9	4.4	2.5	1.4	45.9	123-209	.589	1-13	.077
74	So	6-3	Amari Davis	Green Bay	Horz	86.0	2.1	10.6	11.6	1.0	2.3	29.7	136-295	.461	23-82	.280
75	Sr	6-2	Amauri Hardy	Oregon	P12	48.8	0.2	7.6	17.9	0.6	0.5	15.6	38-80	.475	7-29	.241
76	Jr	6-8	Ameer Bennett	Delaware St.	MEAC	45.5	5.2	14.3	8.1	2.4	1.2	33.8	22-51	.431	5-23	.217
77	Sr	6-6	Ameka Akaya	Air Force	MWC	53.0	1.8	12.2	15.1	2.2	2.5	25.0	42-79	.532	16-53	.302
78	Sr	6-5	Amin Adamu	Montana St.	BSky	76.4	2.9	16.0	10.4	0.9	2.9	36.0	101-203	.498	12-33	.364
79	Sr	6-8	Amir Allen	Milwaukee	Horz	47.2	15.5	16.3	3.9	3.5	0.8	65.5	44-87	.506	0-0	.000
80	Sr	6-3	Amorie Archibald	Louisiana Tech	CUSA	77.1	1.6	9.9	20.2	0.6	1.9	25.5	62-161	.385	42-133	.316
81	So	6-5	Anderson Kopp	Lamar	Slnd	68.6	3.3	14.3	9.4	1.2	2.0	24.1	55-141	.390	41-149	.275
82	Fr	6-1	Andre Curbelo	Illinois	B10	53.2	2.6	17.4	34.4	0.4	2.4	37.0	104-188	.553	5-31	.161
83	So	6-2	Andre Gordon	Texas A&M	SEC	68.3	1.9	9.1	22.3	0.6	2.2	19.6	36-91	.396	19-62	.306
84	Sr	6-4	Andre Jones	Nicholls St.	Slnd	58.7	2.0	18.3	21.9	1.5	2.1	30.5	82-151	.543	9-46	.196
85	Jr	6-8	Andre Kelly	California	P12	65.9	8.5	22.9	5.3	2.1	1.4	50.5	114-191	.597	0-3	.000
86	Fr	6-8	Andrej Jakimovski	Washington St.	P12	56.8	4.4	14.1	14.0	0.7	0.7	13.6	13-44	.295	33-103	.320
